sim_id,replica,init_id,grupo_ic,lambda_cc,gamma,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
sim__lam_m0p05__gam_0p07__rep_021__20260601_173711_952815,21,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.17214186634784331,-0.3984509293226525,-2.9796123106674077,-0.4948882567251879,1.2781712050417782,-1.9364244211384476,-0.6318214099612424,-0.3919544724881982,1.7348123924074812,-0.7923586116193457
sim__lam_m0p05__gam_0p07__rep_022__20260601_173729_680474,22,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,2.56447695488694,-1.754182635288348,0.8126544660853959,1.0460450256375862,-0.2441307056520054,-1.7745478604738547,-0.3378321092708844,1.1139873902116313,1.3202329026474706,0.5394843197691983
sim__lam_m0p05__gam_0p07__rep_023__20260601_173745_696223,23,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,7.029094934837047,3.2370311606573203,-2.5377466538900855,-2.2448722603308795,-0.415231086092528,-1.7069285232089517,-0.3016862489800937,-0.2343272549339355,-1.569079370723561,0.7436702404812574
sim__lam_m0p05__gam_0p07__rep_024__20260601_173804_136465,24,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,1.671126037954984,1.2147396177114675,0.6715996645075952,1.194753178932164,-0.9031963407387553,-0.6664873139357438,-0.952931661346286,-1.3468915162113175,1.0832097762401933,-0.5974774503142886
sim__lam_m0p05__gam_0p07__rep_025__20260601_173821_374552,25,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,1.9347312597389004,-0.6861851425848721,-4.228428311999082,3.265002986687626,-0.8777696335946301,0.03187211931163723,-0.91273188436139,-0.44118302546810184,0.3732735442220462,0.4535241950138245
sim__lam_m0p05__gam_0p07__rep_026__20260601_173837_872320,26,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,-6.654412348215852,-0.07802611361183188,0.08904851000638893,-2.000329280227515,1.562233834074353,0.06654218761357748,0.4806626082158697,-1.501556596227847,-0.349589103897427,-0.14227684662458046
sim__lam_m0p05__gam_0p07__rep_027__20260601_173855_259100,27,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,-1.1916054750940006,-2.2659200688469783,0.06412354742179599,0.5363087408342275,0.1103249864528694,-0.8723785068546867,1.3670851190010465,-2.731873505118049,-2.188326123568932,-0.30607972071078066
sim__lam_m0p05__gam_0p07__rep_028__20260601_173912_688109,28,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,-1.4555501275120994,-0.13944389167859295,0.16449159591173523,0.5699263354720212,-0.5020465070190575,1.769578027449523,-0.12265898148755068,-1.5054929711821814,0.3965250654276874,-0.10286675566788175
sim__lam_m0p05__gam_0p07__rep_029__20260601_173928_943020,29,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,-3.9715910791031224,-0.8287742396524431,-1.0739875318262277,0.9927516360171903,-0.4169467563232842,-0.195929253871533,1.8544939947381285,1.1881469744192865,-0.6172360265044267,1.338130593729935
sim__lam_m0p05__gam_0p07__rep_000__20260601_173945_748981,0,hexagonal_2000_1.dat,I_2000,-0.05,0.07,6.04198481843042,3.564180894929511,-3.259878388726743,-2.976284454739554,0.24659819211026748,0.34217341267702056,1.378277278826656,0.08458965370910469,-0.48512206718037054,0.6980104062493909
sim__lam_m0p05__gam_0p07__rep_001__20260601_174001_892688,1,hexagonal_2000_1.dat,I_2000,-0.05,0.07,2.508304912184347,-0.6319357668135895,3.0565174075978483,1.3652287842710755,2.3696845812072618,-0.48756898323097825,0.38297195794977573,0.2845114231092015,0.09098698381239537,0.22557105089750018
sim__lam_m0p05__gam_0p07__rep_002__20260601_174018_316765,2,hexagonal_2000_1.dat,I_2000,-0.05,0.07,2.027332307313288,-0.20392361005864554,2.7308395046034404,1.536105331657809,-1.5542112549591107,0.4886133607864024,-1.2389830140210878,-0.7534559039284527,-0.2953818855775253,0.15318772720849988
sim__lam_m0p05__gam_0p07__rep_003__20260601_174035_259999,3,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-2.6198895034875016,-5.954264000154147,-4.422943590359812,0.02887159944685263,0.2995418597264883,1.0009709711956725,-1.894478020235974,-0.2542963613431902,1.0272604249228214,0.23395872787460129
sim__lam_m0p05__gam_0p07__rep_004__20260601_174053_082625,4,hexagonal_2000_1.dat,I_2000,-0.05,0.07,-3.1477038857863344,-1.851162327864639,1.678007329603043,-0.8461984584515851,1.966303433383657,0.7873201760219525,1.1582537368916477,0.36063232301556425,0.7331658798312968,0.7937699183256725
