sim_id,replica,init_id,grupo_ic,lambda_cc,gamma,area_mean,area_std,area_cv,area_q10,area_q50,area_q90,area_skew,perimeter_mean,perimeter_std,perimeter_cv,perimeter_q10,perimeter_q50,perimeter_q90,perimeter_skew,shape_mean,shape_std,shape_q10,shape_q50,shape_q90,elongation_mean,elongation_std,elongation_q10,elongation_q50,elongation_q90,neighbors_mean,neighbors_std,center_x_std,center_y_std,xy_corr,frac_neighbors_4,frac_neighbors_5,frac_neighbors_6,frac_neighbors_7,frac_neighbors_8
sim__lam_m0p05__gam_0p07__rep_012__20260601_173433_252504,12,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.6263425153061224,0.26262989587215924,0.41930715136490554,0.3926345,0.5286375,1.107065,1.3674767846501321,2.9353924027111944,0.5338843051156423,0.18187834261012356,2.4347118301327173,2.74198361065302,3.868454974040335,1.146604972299294,3.7893335873994105,0.07354005609702843,3.697297196652933,3.7795968889891594,3.8781662247981776,1.2958329275162623,0.1761093561385572,1.109965220146619,1.268117968310421,1.4848757910492965,6.0,0.8451542547285166,3.0557367926286223,3.114216517013434,0.00999384827028767,0.00510204081632653,0.29081632653061223,0.4489795918367347,0.21428571428571427,0.03571428571428571
sim__lam_m0p05__gam_0p07__rep_013__20260601_173451_865403,13,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.6463627295918367,0.29379577996608625,0.4545370061036116,0.3728745,0.5307299999999999,1.14751,0.9839707654452448,2.9700028769393807,0.6055914811445966,0.203902658090507,2.35061583500534,2.759075593457834,3.977724522223549,0.7977449164259302,3.7951058298944833,0.08758058780330237,3.6931327048906253,3.771912795994477,3.9093448285398864,1.2860487429326322,0.18928255543157738,1.0836707982722944,1.2386910160094962,1.5601539060453735,6.010204081632653,0.9312587263986012,3.1620042584819776,3.212466438718121,0.01597849656339071,0.025510204081632654,0.28061224489795916,0.41836734693877553,0.21428571428571427,0.05612244897959184
sim__lam_m0p05__gam_0p07__rep_014__20260601_173508_796146,14,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.6472581326530613,0.2793919994616458,0.4316546758802517,0.3987485,0.5267505,1.146235,1.1046992209995359,2.976597477153507,0.5716905727972396,0.19206176756682264,2.426047186437829,2.7410402223090173,3.9822412264409603,0.9115583993419326,3.7868508899359674,0.07068300081242872,3.6955924637030777,3.7709028034275516,3.8658740437788346,1.2804800328368418,0.17311068095113205,1.0952354220870837,1.2412829769772722,1.5186167156844963,6.010204081632653,0.8863465250297539,3.172342380854531,3.1537711441274547,0.01631073869218454,0.01020408163265306,0.29081632653061223,0.4387755102040816,0.20408163265306123,0.05102040816326531
sim__lam_m0p05__gam_0p07__rep_015__20260601_173525_757423,15,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.6323271683673469,0.27705092418536803,0.4381449003690107,0.39082249999999996,0.524767,1.074795,1.2229269054652336,2.94063102163646,0.5701267728071736,0.19387905813824421,2.411411415667348,2.7228643009531965,3.8552381691704234,0.9770557717890067,3.7866022703708624,0.07195225694635055,3.704270804985255,3.7701079469489005,3.8738104699712825,1.2678415333480362,0.16459218352202418,1.0863831317465347,1.2277411199159032,1.487647361291981,6.0,0.8571428571428572,3.132948465583417,3.1345365725522165,0.03434648229096285,0.01020408163265306,0.2857142857142857,0.44387755102040816,0.2193877551020408,0.03571428571428571
sim__lam_m0p05__gam_0p07__rep_016__20260601_173542_486347,16,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.6262295969387754,0.2641057376594044,0.4217394689583851,0.39315849999999997,0.5160885,1.06529,1.215579307439465,2.9314217935932505,0.5400699122470717,0.18423480149708707,2.4199086027826704,2.723661327303998,3.833129507171235,0.9979400367123714,3.7883093545067847,0.07713191527844346,3.6966260633412515,3.7696798649870518,3.8791640499080025,1.2698292298306804,0.16584839858374045,1.0933801043361338,1.2429952935652997,1.4896496480136134,5.994897959183674,0.9006655644441097,3.1403812122456785,3.089212326698589,0.0009230104807526688,0.025510204081632654,0.25510204081632654,0.4846938775510204,0.17857142857142858,0.04591836734693878
sim__lam_m0p05__gam_0p07__rep_017__20260601_173559_495774,17,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.6361582551020408,0.2685127587522635,0.42208484539554003,0.39406,0.527736,1.058275,1.1605995137876446,2.950941395051066,0.5532598451733158,0.18748588030280222,2.4193933531651517,2.7352646766780353,3.831414064136906,0.8591567862978841,3.784562789779849,0.07273658727702528,3.692313699961235,3.7731887690171035,3.8606378863528383,1.2513839472299209,0.1593758603046919,1.073186050581326,1.2176314614532582,1.476549072881428,5.98469387755102,0.9284452706405265,3.1927924527462346,3.151290879672895,0.0247976950936742,0.015306122448979591,0.3112244897959184,0.41836734693877553,0.19387755102040816,0.05102040816326531
sim__lam_m0p05__gam_0p07__rep_018__20260601_173616_713249,18,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.6252431122448979,0.2602462732481263,0.4162321313917581,0.39514,0.5220685,1.069285,1.1969282219721173,2.929075634572903,0.5389191469666793,0.18398949504937473,2.424835384527138,2.724807243809844,3.82980167989525,0.9976548938000236,3.785616769587453,0.07358418084607136,3.6976793954935845,3.771158746752898,3.8699441247960626,1.2585715414575254,0.15561555090882725,1.0728977902054817,1.2400475185431223,1.4451406406661054,6.005102040816326,0.8777141518995889,3.1247999237887787,3.109617709672905,0.03138562827337862,0.01020408163265306,0.30612244897959184,0.39285714285714285,0.25510204081632654,0.030612244897959183
sim__lam_m0p05__gam_0p07__rep_019__20260601_173635_408914,19,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.6361582551020408,0.2685127587522635,0.42208484539554003,0.39406,0.527736,1.058275,1.1605995137876446,2.950941395051066,0.5532598451733158,0.18748588030280222,2.4193933531651517,2.7352646766780353,3.831414064136906,0.8591567862978841,3.784562789779849,0.07273658727702528,3.692313699961235,3.7731887690171035,3.8606378863528383,1.2513839472299209,0.1593758603046919,1.073186050581326,1.2176314614532582,1.476549072881428,5.98469387755102,0.9284452706405265,3.1927924527462346,3.151290879672895,0.0247976950936742,0.015306122448979591,0.3112244897959184,0.41836734693877553,0.19387755102040816,0.05102040816326531
sim__lam_m0p05__gam_0p07__rep_020__20260601_173653_184061,20,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.6465939744897958,0.2777101986135069,0.42949704075453005,0.394114,0.524917,1.13179,1.0458450999012792,2.9767792970962663,0.5712901379202567,0.19191551704129908,2.44122427770355,2.748929488819524,3.951874128449404,0.8538058457766671,3.7907918381202665,0.08245357274276092,3.6940755169054187,3.767342120289137,3.902372601610672,1.2870906726379092,0.17905614148765134,1.0900612506287264,1.2483308456530093,1.5423702835259694,5.994897959183674,0.8835079026683732,3.193259149518325,3.1525282580931795,-0.023285769342139565,0.02040816326530612,0.2755102040816326,0.4489795918367347,0.1989795918367347,0.05612244897959184
sim__lam_m0p05__gam_0p07__rep_021__20260601_173711_952815,21,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.6541489030612245,0.2793690034487446,0.4270724939550502,0.3949635,0.534029,1.11703,0.9842839820824807,2.9908728749851172,0.5813924468204867,0.19438888616193203,2.424050901343099,2.7508331997669426,3.9640227654111406,0.7935838830045971,3.785333910349832,0.07481797715628977,3.7015980609535637,3.769055105000164,3.86680697351031,1.2627509144261944,0.16307307129172124,1.0851359146167674,1.239375145023046,1.4617145482861864,5.989795918367347,0.82058836481706,3.1827572419756534,3.2549499663854986,0.01217311949058723,0.01020408163265306,0.28061224489795916,0.44387755102040816,0.24489795918367346,0.015306122448979591
sim__lam_m0p05__gam_0p07__rep_022__20260601_173729_680474,22,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.6548911683673468,0.2999823481484713,0.4580644275534721,0.380003,0.523117,1.13631,0.982012531081614,2.981239560730664,0.6085420658715737,0.20412383958913505,2.393053489716693,2.73593129578322,3.9388784273713164,0.8071282266271894,3.786198555157817,0.07931311584458202,3.6963582593319937,3.7673910665910517,3.8844188878472306,1.272124297822084,0.1454691932741909,1.0982841190632673,1.2545490993928345,1.4727383175615771,6.010204081632653,0.9257638650654343,3.2182992005593385,3.2492528685908653,-0.0026711641888012747,0.015306122448979591,0.29081632653061223,0.4336734693877551,0.20408163265306123,0.04081632653061224
sim__lam_m0p05__gam_0p07__rep_023__20260601_173745_696223,23,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.6799296530612244,0.2950646087630156,0.4339634364145205,0.38282649999999996,0.5686994999999999,1.1364100000000001,0.7626911102393807,3.049460984468074,0.6082366109865982,0.19945708900174539,2.4048265017618053,2.84797456508034,3.9474367321557287,0.5245118858170036,3.7942787810658842,0.08977105610317408,3.6977937380810784,3.7657441325546737,3.90999588374617,1.2944306830004895,0.21348047512525387,1.0788247704249816,1.2464537170200456,1.591725323133135,6.01530612244898,0.8480291726807621,3.208920667804137,3.2556787614965557,0.0073881775168009225,0.01020408163265306,0.2755102040816326,0.4489795918367347,0.2193877551020408,0.04591836734693878
sim__lam_m0p05__gam_0p07__rep_024__20260601_173804_136465,24,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.6442248826530612,0.28296373034025574,0.43923129633631813,0.3874885,0.5343945,1.15811,1.1233248869142884,2.972154958450396,0.5801094922381618,0.1951814425383865,2.396821400844703,2.7449181545176735,4.010886264190418,0.9238386520093087,3.794102803682976,0.0785264935078757,3.707380264621462,3.7728664376124543,3.9021544068540717,1.2836683993881222,0.17197446044800904,1.0926600148401096,1.2414547250953945,1.5150020218173048,5.98469387755102,0.9061977124469849,3.160939014433432,3.2381402251381446,-0.0037129027053846705,0.02040816326530612,0.28061224489795916,0.45918367346938777,0.1836734693877551,0.04591836734693878
sim__lam_m0p05__gam_0p07__rep_025__20260601_173821_374552,25,hexagonal_perfect_14x14.dat,I_perfect,-0.05,0.07,0.6626095918367346,0.2960914190242649,0.446856524070322,0.398117,0.5365715,1.1962700000000002,1.064083573232869,3.0058264626091753,0.6067543656745292,0.20185941311716338,2.4381542990345606,2.7737056452218223,4.033519892047151,0.8372959105063446,3.785109064902119,0.07095926281009231,3.706530234388413,3.7727099746072437,3.865556159564059,1.2701001981157323,0.16715100667005628,1.0908213520713146,1.245572996493352,1.4993923276510528,6.020408163265306,0.8265935980032096,3.1849804589720527,3.202734529616212,0.01262400087827888,0.00510204081632653,0.25,0.5204081632653061,0.17857142857142858,0.03571428571428571
