sim_id,replica,init_id,lambda_cc,gamma,grupo_real,grupo_predicho,distancia_minima,acierto
sim__lam_m0p05__gam_0p07__rep_029__20260601_174738_788316,29,hexagonal_2000_1.dat,-0.05,0.07,I_2000,I_1000_1,8.255780601262,False
sim__lam_m0p05__gam_0p07__rep_000__20260601_174754_242064,0,hexagonal_1000_1.dat,-0.05,0.07,I_1000_1,I_1000_1,4.0450543198622055,True
sim__lam_m0p05__gam_0p07__rep_001__20260601_174809_910337,1,hexagonal_1000_1.dat,-0.05,0.07,I_1000_1,I_1000_1,3.167255367029088,True
sim__lam_m0p05__gam_0p07__rep_002__20260601_174825_394733,2,hexagonal_1000_1.dat,-0.05,0.07,I_1000_1,I_1000_1,3.6232082780326547,True
sim__lam_m0p05__gam_0p07__rep_003__20260601_174840_868167,3,hexagonal_1000_1.dat,-0.05,0.07,I_1000_1,I_perfect,3.2666757898791494,False
sim__lam_m0p05__gam_0p07__rep_004__20260601_174858_630341,4,hexagonal_1000_1.dat,-0.05,0.07,I_1000_1,I_1000_2,2.7276671046340057,False
sim__lam_m0p05__gam_0p07__rep_005__20260601_174914_116777,5,hexagonal_1000_1.dat,-0.05,0.07,I_1000_1,I_1000_1,3.2182697666765208,True
sim__lam_m0p05__gam_0p07__rep_006__20260601_174931_225107,6,hexagonal_1000_1.dat,-0.05,0.07,I_1000_1,I_1000_2,4.3786914228290925,False
sim__lam_m0p05__gam_0p07__rep_007__20260601_174946_217214,7,hexagonal_1000_1.dat,-0.05,0.07,I_1000_1,I_1000_1,5.800831519307857,True
sim__lam_m0p05__gam_0p07__rep_008__20260601_175001_745557,8,hexagonal_1000_1.dat,-0.05,0.07,I_1000_1,I_perfect,3.9199819221018974,False
sim__lam_m0p05__gam_0p07__rep_009__20260601_175017_201034,9,hexagonal_1000_1.dat,-0.05,0.07,I_1000_1,I_1000_1,5.800831519307857,True
sim__lam_m0p05__gam_0p07__rep_010__20260601_175032_753036,10,hexagonal_1000_1.dat,-0.05,0.07,I_1000_1,I_1000_1,6.3484569784183655,True
sim__lam_m0p05__gam_0p07__rep_011__20260601_175048_134462,11,hexagonal_1000_1.dat,-0.05,0.07,I_1000_1,I_1000_2,4.81642750910793,False
sim__lam_m0p05__gam_0p07__rep_012__20260601_175105_188300,12,hexagonal_1000_1.dat,-0.05,0.07,I_1000_1,I_1000_1,7.793982497521365,True
sim__lam_m0p05__gam_0p07__rep_013__20260601_175120_840497,13,hexagonal_1000_1.dat,-0.05,0.07,I_1000_1,I_1000_1,5.992695144184717,True
sim__lam_m0p05__gam_0p07__rep_014__20260601_175136_672687,14,hexagonal_1000_1.dat,-0.05,0.07,I_1000_1,I_2000,5.0984927121485395,False
sim__lam_m0p05__gam_0p07__rep_015__20260601_175151_934094,15,hexagonal_1000_1.dat,-0.05,0.07,I_1000_1,I_1000_1,6.424333658770157,True
sim__lam_m0p05__gam_0p07__rep_016__20260601_175207_138732,16,hexagonal_1000_1.dat,-0.05,0.07,I_1000_1,I_1000_1,6.424333658770157,True
sim__lam_m0p05__gam_0p07__rep_017__20260601_175222_889146,17,hexagonal_1000_1.dat,-0.05,0.07,I_1000_1,I_1000_2,4.3786914228290925,False
sim__lam_m0p05__gam_0p07__rep_018__20260601_175239_650167,18,hexagonal_1000_1.dat,-0.05,0.07,I_1000_1,I_perfect,5.579779886585074,False
sim__lam_m0p05__gam_0p07__rep_019__20260601_175255_675686,19,hexagonal_1000_1.dat,-0.05,0.07,I_1000_1,I_1000_2,5.358655543662363,False
sim__lam_m0p05__gam_0p07__rep_020__20260601_175311_076104,20,hexagonal_1000_1.dat,-0.05,0.07,I_1000_1,I_1000_1,5.256258794934289,True
sim__lam_m0p05__gam_0p07__rep_021__20260601_175328_269217,21,hexagonal_1000_1.dat,-0.05,0.07,I_1000_1,I_1000_1,4.650792140131173,True
sim__lam_m0p05__gam_0p07__rep_022__20260601_175343_426900,22,hexagonal_1000_1.dat,-0.05,0.07,I_1000_1,I_1000_1,6.107574857805289,True
sim__lam_m0p05__gam_0p07__rep_023__20260601_175358_972393,23,hexagonal_1000_1.dat,-0.05,0.07,I_1000_1,I_1000_2,4.3786914228290925,False
sim__lam_m0p05__gam_0p07__rep_024__20260601_175414_424992,24,hexagonal_1000_1.dat,-0.05,0.07,I_1000_1,I_1000_1,7.793982497521365,True
sim__lam_m0p05__gam_0p07__rep_025__20260601_175430_261029,25,hexagonal_1000_1.dat,-0.05,0.07,I_1000_1,I_1000_2,7.896361130412945,False
sim__lam_m0p05__gam_0p07__rep_026__20260601_175447_392689,26,hexagonal_1000_1.dat,-0.05,0.07,I_1000_1,I_perfect,6.56343370071284,False
sim__lam_m0p05__gam_0p07__rep_027__20260601_175502_851280,27,hexagonal_1000_1.dat,-0.05,0.07,I_1000_1,I_perfect,6.713756530237297,False
sim__lam_m0p05__gam_0p07__rep_028__20260601_175520_140564,28,hexagonal_1000_1.dat,-0.05,0.07,I_1000_1,I_1000_1,5.245627683345641,True
sim__lam_m0p05__gam_0p07__rep_029__20260601_175535_372779,29,hexagonal_1000_1.dat,-0.05,0.07,I_1000_1,I_1000_1,5.256258794934289,True
sim__lam_m0p05__gam_0p07__rep_000__20260601_175550_864337,0,hexagonal_1000_2.dat,-0.05,0.07,I_1000_2,I_1000_1,4.838693058239865,False
sim__lam_m0p05__gam_0p07__rep_001__20260601_175607_021933,1,hexagonal_1000_2.dat,-0.05,0.07,I_1000_2,I_perfect,6.8878388237385595,False
sim__lam_m0p05__gam_0p07__rep_002__20260601_175623_054197,2,hexagonal_1000_2.dat,-0.05,0.07,I_1000_2,I_1000_2,5.81841303260467,True
sim__lam_m0p05__gam_0p07__rep_003__20260601_175638_445158,3,hexagonal_1000_2.dat,-0.05,0.07,I_1000_2,I_2000,6.0879583823817685,False
sim__lam_m0p05__gam_0p07__rep_004__20260601_175655_293240,4,hexagonal_1000_2.dat,-0.05,0.07,I_1000_2,I_1000_1,3.536064963654894,False
sim__lam_m0p05__gam_0p07__rep_005__20260601_175710_754193,5,hexagonal_1000_2.dat,-0.05,0.07,I_1000_2,I_1000_2,5.81829322441003,True
sim__lam_m0p05__gam_0p07__rep_006__20260601_175725_951256,6,hexagonal_1000_2.dat,-0.05,0.07,I_1000_2,I_1000_2,4.584953206627722,True
sim__lam_m0p05__gam_0p07__rep_007__20260601_175742_913960,7,hexagonal_1000_2.dat,-0.05,0.07,I_1000_2,I_perfect,5.2971518869527445,False
sim__lam_m0p05__gam_0p07__rep_008__20260601_175758_279337,8,hexagonal_1000_2.dat,-0.05,0.07,I_1000_2,I_perfect,4.446536958040219,False
sim__lam_m0p05__gam_0p07__rep_009__20260601_175814_929604,9,hexagonal_1000_2.dat,-0.05,0.07,I_1000_2,I_1000_2,3.4943510047301776,True
sim__lam_m0p05__gam_0p07__rep_010__20260601_175830_241258,10,hexagonal_1000_2.dat,-0.05,0.07,I_1000_2,I_2000,4.956910970516602,False
sim__lam_m0p05__gam_0p07__rep_011__20260601_175845_623976,11,hexagonal_1000_2.dat,-0.05,0.07,I_1000_2,I_2000,5.650964933522995,False
sim__lam_m0p05__gam_0p07__rep_012__20260601_175902_229339,12,hexagonal_1000_2.dat,-0.05,0.07,I_1000_2,I_1000_1,3.966865991586615,False
sim__lam_m0p05__gam_0p07__rep_013__20260601_175917_507375,13,hexagonal_1000_2.dat,-0.05,0.07,I_1000_2,I_1000_1,3.536064963654894,False
sim__lam_m0p05__gam_0p07__rep_014__20260601_175932_724612,14,hexagonal_1000_2.dat,-0.05,0.07,I_1000_2,I_1000_1,6.049155830109134,False
sim__lam_m0p05__gam_0p07__rep_015__20260601_175949_215047,15,hexagonal_1000_2.dat,-0.05,0.07,I_1000_2,I_2000,7.240972425987661,False
sim__lam_m0p05__gam_0p07__rep_016__20260601_180005_181814,16,hexagonal_1000_2.dat,-0.05,0.07,I_1000_2,I_1000_2,7.078137370958965,True
sim__lam_m0p05__gam_0p07__rep_017__20260601_180020_473817,17,hexagonal_1000_2.dat,-0.05,0.07,I_1000_2,I_1000_2,4.343038246505553,True
sim__lam_m0p05__gam_0p07__rep_018__20260601_180036_445064,18,hexagonal_1000_2.dat,-0.05,0.07,I_1000_2,I_1000_2,6.322489722136963,True
sim__lam_m0p05__gam_0p07__rep_019__20260601_180052_473965,19,hexagonal_1000_2.dat,-0.05,0.07,I_1000_2,I_perfect,5.862919091098252,False
sim__lam_m0p05__gam_0p07__rep_020__20260601_180107_712252,20,hexagonal_1000_2.dat,-0.05,0.07,I_1000_2,I_perfect,6.006673345327653,False
sim__lam_m0p05__gam_0p07__rep_021__20260601_180123_462911,21,hexagonal_1000_2.dat,-0.05,0.07,I_1000_2,I_1000_1,4.610138913103288,False
sim__lam_m0p05__gam_0p07__rep_022__20260601_180140_040417,22,hexagonal_1000_2.dat,-0.05,0.07,I_1000_2,I_2000,4.6537955950937,False
sim__lam_m0p05__gam_0p07__rep_023__20260601_180155_221079,23,hexagonal_1000_2.dat,-0.05,0.07,I_1000_2,I_perfect,4.13599988273037,False
sim__lam_m0p05__gam_0p07__rep_024__20260601_180210_805399,24,hexagonal_1000_2.dat,-0.05,0.07,I_1000_2,I_1000_1,4.800118251362247,False
sim__lam_m0p05__gam_0p07__rep_025__20260601_180226_148231,25,hexagonal_1000_2.dat,-0.05,0.07,I_1000_2,I_2000,3.8478972290701146,False
sim__lam_m0p05__gam_0p07__rep_026__20260601_180243_510641,26,hexagonal_1000_2.dat,-0.05,0.07,I_1000_2,I_1000_1,4.837976505801919,False
sim__lam_m0p05__gam_0p07__rep_027__20260601_180258_779002,27,hexagonal_1000_2.dat,-0.05,0.07,I_1000_2,I_2000,4.6266067633225845,False
sim__lam_m0p05__gam_0p07__rep_028__20260601_180314_167826,28,hexagonal_1000_2.dat,-0.05,0.07,I_1000_2,I_1000_2,4.8480331850159395,True
sim__lam_m0p05__gam_0p07__rep_029__20260601_180330_008471,29,hexagonal_1000_2.dat,-0.05,0.07,I_1000_2,I_perfect,4.843092661721629,False
