sim_id,replica,init_id,grupo_ic,lambda_cc,gamma,silhouette
sim__lam_m0p05__gam_0p07__rep_017__20260601_175222_889146,17,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,-0.08846782524554576
sim__lam_m0p05__gam_0p07__rep_018__20260601_175239_650167,18,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,-0.14383453074497826
sim__lam_m0p05__gam_0p07__rep_019__20260601_175255_675686,19,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,-0.14048354761262719
sim__lam_m0p05__gam_0p07__rep_020__20260601_175311_076104,20,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,0.08092872698147863
sim__lam_m0p05__gam_0p07__rep_021__20260601_175328_269217,21,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,-0.020188565675564173
sim__lam_m0p05__gam_0p07__rep_022__20260601_175343_426900,22,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,0.04795431475001324
sim__lam_m0p05__gam_0p07__rep_023__20260601_175358_972393,23,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,-0.08846782524554576
sim__lam_m0p05__gam_0p07__rep_024__20260601_175414_424992,24,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,0.14336664237013977
sim__lam_m0p05__gam_0p07__rep_025__20260601_175430_261029,25,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,-0.14127903899650981
sim__lam_m0p05__gam_0p07__rep_026__20260601_175447_392689,26,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,-0.19305470919386894
sim__lam_m0p05__gam_0p07__rep_027__20260601_175502_851280,27,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,-0.08812370077562595
sim__lam_m0p05__gam_0p07__rep_028__20260601_175520_140564,28,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,0.034801194890107766
sim__lam_m0p05__gam_0p07__rep_029__20260601_175535_372779,29,hexagonal_1000_1.dat,I_1000_1,-0.05,0.07,0.08092872698147863
sim__lam_m0p05__gam_0p07__rep_000__20260601_175550_864337,0,hexagonal_1000_2.dat,I_1000_2,-0.05,0.07,-0.12850674886088945
sim__lam_m0p05__gam_0p07__rep_001__20260601_175607_021933,1,hexagonal_1000_2.dat,I_1000_2,-0.05,0.07,-0.0258375158002355
sim__lam_m0p05__gam_0p07__rep_002__20260601_175623_054197,2,hexagonal_1000_2.dat,I_1000_2,-0.05,0.07,0.04472827387015674
sim__lam_m0p05__gam_0p07__rep_003__20260601_175638_445158,3,hexagonal_1000_2.dat,I_1000_2,-0.05,0.07,-0.017189463201538916
sim__lam_m0p05__gam_0p07__rep_004__20260601_175655_293240,4,hexagonal_1000_2.dat,I_1000_2,-0.05,0.07,-0.03017294792069288
sim__lam_m0p05__gam_0p07__rep_005__20260601_175710_754193,5,hexagonal_1000_2.dat,I_1000_2,-0.05,0.07,0.0670491411371806
