lambda_cc,gamma,grupo,feature,n,mean,std,cv_abs,ci95_low,ci95_high,std_escalada
-0.1,0.08,"lambda=-0.1, gamma=0.08",area_cv,30,0.4314134662011391,0.013926859807141414,0.03228193113621598,0.42642980342370457,0.4363971289785736,0.3001733165461622
-0.1,0.08,"lambda=-0.1, gamma=0.08",area_q10,30,0.39041215000000007,0.006584881317693083,0.016866486654406328,0.3880557804830194,0.3927685195169807,0.06054724195807733
-0.1,0.08,"lambda=-0.1, gamma=0.08",area_q50,30,0.51744855,0.008587610172309388,0.01659606577757226,0.5143755131664627,0.5205215868335373,0.07247065690845388
-0.1,0.08,"lambda=-0.1, gamma=0.08",area_q90,30,1.0923533333333333,0.04172409595585426,0.03819652001109616,1.0774225573495995,1.1072841093170671,0.16146844057453816
-0.1,0.08,"lambda=-0.1, gamma=0.08",area_skew,30,1.1758786935742052,0.14623877778341804,0.12436553071551124,1.1235478190232158,1.2282095681251946,0.22211811123031353
-0.1,0.08,"lambda=-0.1, gamma=0.08",perimeter_mean,30,2.9406225435435007,0.02529482422636889,0.00860186026999854,2.931570906943119,2.9496741801438824,0.06549489243667257
-0.1,0.08,"lambda=-0.1, gamma=0.08",perimeter_std,30,0.5579921768173998,0.024351864470687507,0.04364194603871039,0.5492779740319691,0.5667063796028304,0.3776694661197607
-0.1,0.08,"lambda=-0.1, gamma=0.08",perimeter_cv,30,0.1897115240387486,0.007060130050513037,0.03721508266978554,0.18718508894685904,0.19223795913063818,0.40536408629627646
-0.1,0.08,"lambda=-0.1, gamma=0.08",perimeter_q10,30,2.4133277518814826,0.018566008510611198,0.007693115241448964,2.406683991060941,2.4199715127020243,0.05594554180758988
-0.1,0.08,"lambda=-0.1, gamma=0.08",perimeter_q50,30,2.7177870593317985,0.020943776798323578,0.007706187549319211,2.710292425057159,2.725281693606438,0.0639464343885247
-0.1,0.08,"lambda=-0.1, gamma=0.08",perimeter_q90,30,3.8786773056754242,0.0750130381172031,0.01933985021322636,3.85183423472735,3.9055203766234983,0.14519004788885145
-0.1,0.08,"lambda=-0.1, gamma=0.08",perimeter_skew,30,0.9668278466555194,0.12969875412870696,0.13414875727603925,0.9204157435553347,1.0132399497557039,0.23015110652128565
-0.1,0.08,"lambda=-0.1, gamma=0.08",shape_mean,30,3.7861151329896154,0.005130386023853038,0.0013550528295218406,3.7842792479290193,3.7879510180502116,0.26442643232295365
-0.1,0.08,"lambda=-0.1, gamma=0.08",shape_std,30,0.07680414383638128,0.004975431540436351,0.06478076952508835,0.07502370852554176,0.07858457914722079,0.49892294350142535
-0.1,0.08,"lambda=-0.1, gamma=0.08",shape_q10,30,3.6948293141181385,0.0051381495401659994,0.001390632449659544,3.692990650918909,3.696667977317368,0.37433487973193136
-0.1,0.08,"lambda=-0.1, gamma=0.08",shape_q50,30,3.770902362267438,0.008396015239513312,0.0022265268184946587,3.7678978868000765,3.773906837734799,0.36254009237614954
-0.1,0.08,"lambda=-0.1, gamma=0.08",shape_q90,30,3.875834427587329,0.009663619041257688,0.0024933002742517055,3.8723763459251206,3.879292509249537,0.3543921457394698
-0.1,0.08,"lambda=-0.1, gamma=0.08",elongation_mean,30,1.2670993563621018,0.014395623011692091,0.011361084621668944,1.2619479488262435,1.27225076389796,0.24264062421369664
-0.1,0.08,"lambda=-0.1, gamma=0.08",elongation_std,30,0.16457120193195734,0.01423542480526831,0.08650009623891552,0.15947712058803484,0.16966528327587985,0.3983402125891192
