sim_id,replica,init_id,grupo,lambda_cc,gamma,area_mean,area_std,area_cv,area_q10,area_q50,area_q90,area_skew,perimeter_mean,perimeter_std,perimeter_cv,perimeter_q10,perimeter_q50,perimeter_q90,perimeter_skew,shape_mean,shape_std,shape_q10,shape_q50,shape_q90,elongation_mean,elongation_std,elongation_q10,elongation_q50,elongation_q90,neighbors_mean,neighbors_std,center_x_std,center_y_std,xy_corr,frac_neighbors_4,frac_neighbors_5,frac_neighbors_6,frac_neighbors_7,frac_neighbors_8
sim__lam_m0p1__gam_0p08__rep_019__20260531_150024_126624,19,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.6239569336734694,0.2618154285877991,0.41960496703830746,0.388183,0.50455,1.035675,1.142099002142751,2.9191060324271616,0.5412985617732695,0.18543299070332442,2.398212927802592,2.6904966550584755,3.7733541764423557,0.9340124489638967,3.779024719682093,0.07349622849542313,3.6863866319963208,3.7635043678574682,3.8601720575237284,1.2517055380873663,0.1675813011473554,1.0691731353133498,1.221542873952293,1.4773487221500536,6.020408163265306,0.8745796872333111,3.0263126596447694,3.112252799946837,-0.024116178086124863,0.00510204081632653,0.29591836734693877,0.4336734693877551,0.20408163265306123,0.061224489795918366
sim__lam_m0p1__gam_0p08__rep_020__20260531_150041_337390,20,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.617710943877551,0.25628808513239254,0.414899699725543,0.3887885,0.5163530000000001,1.021205,1.2383346445238552,2.9219868331810352,0.5309576270260061,0.18171116344415378,2.423161250822959,2.724168260558907,3.773003575229254,1.0217686515240152,3.798615071766401,0.07471358043751218,3.7118854577605545,3.7869702342356577,3.8895773986337154,1.3014056826913936,0.17057198394526632,1.1033522896834183,1.289310229457043,1.5450062937944642,6.0,0.9313146293146641,3.123405313675073,3.122082997745158,0.0042888035293364565,0.01020408163265306,0.3163265306122449,0.40816326530612246,0.20918367346938777,0.04081632653061224
sim__lam_m0p1__gam_0p08__rep_021__20260531_150056_746101,21,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.6526585204081633,0.278391238719248,0.42654961210759884,0.387891,0.527542,1.107665,0.9646639726139319,2.9808815936694,0.5684021295920236,0.19068255874334894,2.417114824327343,2.7246370054890976,3.9024293502252565,0.7823415986982397,3.7789643235816786,0.08175654673548291,3.6873239531157287,3.7567102871667513,3.886504022662006,1.2484339991799742,0.16700727322252426,1.0791661679919413,1.2073374292422154,1.4839209977130992,6.010204081632653,0.8689061615239939,3.0972873324416517,3.156528081435279,-0.004069202265329942,0.015306122448979591,0.27040816326530615,0.45918367346938777,0.1989795918367347,0.05612244897959184
sim__lam_m0p1__gam_0p08__rep_022__20260531_150114_882100,22,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.6394687959183674,0.28908952071643895,0.45207760341271,0.396409,0.5087505,1.130725,1.205622474932006,2.9559106131836668,0.5860830324002645,0.19827495113894017,2.4315567579900943,2.7015985477982487,3.9402569545999793,0.9826212452427843,3.7912458072775994,0.0747492258594091,3.6954947328506926,3.7855075802495683,3.8775162993748253,1.283958941202476,0.16116690576989823,1.102558059230926,1.2527568469264687,1.515326365788687,6.005102040816326,0.9556355347631007,3.1570194607477573,3.0874012499798082,-0.014434377625482636,0.015306122448979591,0.29591836734693877,0.44387755102040816,0.1836734693877551,0.03571428571428571
sim__lam_m0p1__gam_0p08__rep_023__20260531_150130_205229,23,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.6394687959183674,0.28908952071643895,0.45207760341271,0.396409,0.5087505,1.130725,1.205622474932006,2.9559106131836668,0.5860830324002645,0.19827495113894017,2.4315567579900943,2.7015985477982487,3.9402569545999793,0.9826212452427843,3.7912458072775994,0.0747492258594091,3.6954947328506926,3.7855075802495683,3.8775162993748253,1.283958941202476,0.16116690576989823,1.102558059230926,1.2527568469264687,1.515326365788687,6.005102040816326,0.9556355347631007,3.1570194607477573,3.0874012499798082,-0.014434377625482636,0.015306122448979591,0.29591836734693877,0.44387755102040816,0.1836734693877551,0.03571428571428571
sim__lam_m0p1__gam_0p08__rep_024__20260531_150147_240732,24,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.6186779132653062,0.26569252822973743,0.4294520986324134,0.38107749999999996,0.513245,1.01797,1.228411032926363,2.9127436104115003,0.5445641622351239,0.18695918181346666,2.39017761109604,2.701186715048928,3.7723380518750123,1.0351845705246905,3.790818010701651,0.0815228310566597,3.6945801793244204,3.7733374831950286,3.895952917180794,1.2799435880858927,0.16435746946247023,1.092479443603997,1.2711172797345096,1.5058248328984005,6.025510204081633,0.9391497701177396,3.078784785165627,3.1686676787759267,-0.0309593428608898,0.02040816326530612,0.2755102040816326,0.44387755102040816,0.18877551020408162,0.061224489795918366
sim__lam_m0p1__gam_0p08__rep_025__20260531_150203_472309,25,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.6184415459183674,0.25802557327725095,0.41721901605700407,0.39209099999999997,0.5146854999999999,1.1029300000000002,1.2202773745728737,2.906937192780164,0.5318469537750103,0.1829578413650467,2.4081066913703943,2.6934120650302136,3.889055751483175,1.0609750726046479,3.7773800588181725,0.07002168841876777,3.6951794938372444,3.7601467591982733,3.8636892265168687,1.2483553410323953,0.1383928404752279,1.0962009360956748,1.216352610348327,1.4477794865202727,5.989795918367347,0.82058836481706,3.1233961059601225,3.030238784729668,0.03897518425774647,0.01020408163265306,0.2857142857142857,0.4336734693877551,0.24489795918367346,0.025510204081632654
sim__lam_m0p1__gam_0p08__rep_026__20260531_150222_649215,26,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.6245756581632653,0.2645991519524575,0.42364627646578423,0.40451349999999997,0.514668,1.0781100000000001,1.3247332103543445,2.9281540309526344,0.5340639520979341,0.18238929593604794,2.4455963966463745,2.722208976118619,3.8562312581588767,1.0790289493028375,3.7883869313481138,0.08622393159259605,3.6880063272996773,3.7755867947492567,3.872874462281981,1.2736283070077459,0.18518912648012592,1.0812262749703923,1.230715485951452,1.511617435384852,6.0,0.9258200997725514,3.1049877915666944,3.068266291031732,-0.026877850567124016,0.01020408163265306,0.30612244897959184,0.44387755102040816,0.15816326530612246,0.07653061224489796
sim__lam_m0p1__gam_0p08__rep_027__20260531_150239_023388,27,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.638666056122449,0.2855157726228632,0.44705017573013983,0.37601850000000003,0.5142264999999999,1.1097000000000001,1.016017333199966,2.9445084249338045,0.5875285962251432,0.19953367810049716,2.373013785853594,2.6987599314140596,3.89502374434621,0.8250061075491322,3.779885054582431,0.07131403160123238,3.6892983409886138,3.7652758143367437,3.873450327597169,1.2604463306661464,0.16279874496286653,1.0766172823724798,1.2310959473284058,1.4818214288320513,6.020408163265306,0.8628333941473347,3.113846929030054,3.1334371217991315,-0.03707782154523642,0.0,0.30612244897959184,0.41836734693877553,0.22959183673469388,0.04081632653061224
sim__lam_m0p1__gam_0p08__rep_028__20260531_150254_720777,28,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.08",-0.1,0.08,0.625967801020408,0.2803062290821073,0.4477965617795744,0.3973005,0.5128635,1.14404,1.3725951625341297,2.927957135138602,0.5617845811556326,0.19186912759528746,2.4229794731438745,2.7026421866943995,3.954157885692556,1.1453910879689015,3.791472819051262,0.08686895811417625,3.69148815044466,3.77295663528189,3.884480293853363,1.2763284808213227,0.1920546295070889,1.0677564200255185,1.2398834154418983,1.5165788737475405,5.994897959183674,0.9394823204318421,3.0197466832754065,3.168014415027916,0.014743698646985519,0.0,0.33163265306122447,0.4387755102040816,0.14795918367346939,0.0663265306122449
