lambda_cc,gamma,grupo,sim_id,replica,distancia_a_centroide
0.0,0.08,"lambda=0, gamma=0.08",sim__lam_0__gam_0p08__rep_015__20260531_151520_191782,15,2.7584338620343827
0.0,0.08,"lambda=0, gamma=0.08",sim__lam_0__gam_0p08__rep_016__20260531_151533_343928,16,4.089162013691752
0.0,0.08,"lambda=0, gamma=0.08",sim__lam_0__gam_0p08__rep_017__20260531_151544_776165,17,1.5707142291222862
0.0,0.08,"lambda=0, gamma=0.08",sim__lam_0__gam_0p08__rep_018__20260531_151556_334086,18,1.7258677916687155
0.0,0.08,"lambda=0, gamma=0.08",sim__lam_0__gam_0p08__rep_019__20260531_151608_526710,19,2.642266238949939
0.0,0.08,"lambda=0, gamma=0.08",sim__lam_0__gam_0p08__rep_020__20260531_151620_259124,20,3.0558080916478563
0.0,0.08,"lambda=0, gamma=0.08",sim__lam_0__gam_0p08__rep_021__20260531_151632_293469,21,2.4464978151065138
0.0,0.08,"lambda=0, gamma=0.08",sim__lam_0__gam_0p08__rep_022__20260531_151645_041367,22,1.8108256829934672
0.0,0.08,"lambda=0, gamma=0.08",sim__lam_0__gam_0p08__rep_023__20260531_151656_729203,23,1.466730802673957
0.0,0.08,"lambda=0, gamma=0.08",sim__lam_0__gam_0p08__rep_024__20260531_151708_879373,24,3.062618217534781
0.0,0.08,"lambda=0, gamma=0.08",sim__lam_0__gam_0p08__rep_025__20260531_151721_618459,25,1.6774803724111071
0.0,0.08,"lambda=0, gamma=0.08",sim__lam_0__gam_0p08__rep_026__20260531_151733_988523,26,1.8016355816191805
0.0,0.08,"lambda=0, gamma=0.08",sim__lam_0__gam_0p08__rep_027__20260531_151747_372039,27,1.998188766164336
0.0,0.08,"lambda=0, gamma=0.08",sim__lam_0__gam_0p08__rep_028__20260531_151800_250315,28,2.063781826429403
0.0,0.08,"lambda=0, gamma=0.08",sim__lam_0__gam_0p08__rep_029__20260531_151811_962071,29,2.186457712142378
