lambda_cc,gamma,grupo,feature,n,mean,std,cv_abs,ci95_low,ci95_high,std_escalada
-0.1,0.08,"lambda=-0.1, gamma=0.08",frac_neighbors_4,30,0.01326530612244898,0.009436278841301467,0.7113502511134951,0.009888577105993158,0.016642035138904804,0.9966641218045283
-0.1,0.08,"lambda=-0.1, gamma=0.08",neighbors_mean,30,6.006972789115646,0.011794080166381907,0.0019633983006802076,6.002752331730907,6.011193246500385,0.8501084893352759
-0.1,0.08,"lambda=-0.1, gamma=0.08",frac_neighbors_8,30,0.05136054421768708,0.013725136174365566,0.2672311281631441,0.04644906731516736,0.056272021120206794,0.7863404989732166
-0.1,0.08,"lambda=-0.1, gamma=0.08",frac_neighbors_5,30,0.2920068027210884,0.02311730418196248,0.07916700558528794,0.2837343816612311,0.30027922378094574,0.6282931287242142
-0.1,0.08,"lambda=-0.1, gamma=0.08",elongation_q10,30,1.0861570473354982,0.010913778779507204,0.010048066995726168,1.0822516017563955,1.090062492914601,0.5066521198647804
-0.1,0.08,"lambda=-0.1, gamma=0.08",shape_std,30,0.07680414383638128,0.004975431540436351,0.06478076952508835,0.07502370852554176,0.07858457914722079,0.49892294350142535
-0.1,0.08,"lambda=-0.1, gamma=0.08",neighbors_std,30,0.9078502980879886,0.04531837994084247,0.04991834010110137,0.891633324098705,0.9240672720772721,0.47885788321006484
-0.1,0.08,"lambda=-0.1, gamma=0.08",perimeter_cv,30,0.1897115240387486,0.007060130050513037,0.03721508266978554,0.18718508894685904,0.19223795913063818,0.40536408629627646
0.0,0.05,"lambda=0, gamma=0.05",xy_corr,30,0.002442516388119742,0.03299525151674292,13.508712439855024,-0.009364682728781,0.014249715505020483,1.1998455469353024
0.0,0.05,"lambda=0, gamma=0.05",frac_neighbors_4,30,0.01649659863945578,0.010176187536730084,0.6168658011955969,0.012855096696786049,0.020138100582125514,1.0748136193498112
0.0,0.05,"lambda=0, gamma=0.05",frac_neighbors_7,30,0.19727891156462585,0.024717934166638332,0.12529435594813224,0.18843371242086882,0.20612411070838288,0.987961418985105
0.0,0.05,"lambda=0, gamma=0.05",neighbors_mean,30,5.996598639455782,0.013620095322934535,0.0022713034741592476,5.991724750939204,6.001472527972361,0.9817262979597255
0.0,0.05,"lambda=0, gamma=0.05",frac_neighbors_8,30,0.04506802721088436,0.015744561103294,0.3493510161787498,0.039433908378346566,0.05070214604342216,0.9020373915999259
0.0,0.05,"lambda=0, gamma=0.05",shape_std,30,0.07879740804849729,0.007984544228036138,0.10133003642863361,0.07594017559156982,0.08165464050542476,0.8006687010750697
0.0,0.05,"lambda=0, gamma=0.05",frac_neighbors_5,30,0.28078231292517003,0.02582436161452833,0.09197289296997371,0.2715411838040642,0.29002344204627584,0.7018668279131544
0.0,0.05,"lambda=0, gamma=0.05",neighbors_std,30,0.8919094790901518,0.06124836085086018,0.06867105046729677,0.86999203464264,0.9138269235376637,0.6471824558912924
0.0,0.05,"lambda=0, gamma=0.05",frac_neighbors_6,30,0.45323129251700683,0.039906361960147664,0.08804855847117007,0.43895098428976137,0.4675116007442523,0.597147992275027
0.0,0.05,"lambda=0, gamma=0.05",elongation_q10,30,1.094295044019544,0.012705769968670679,0.011610917949513947,1.0897483426289665,1.0988417454101216,0.5898420170682563
0.0,0.08,"lambda=0, gamma=0.08",perimeter_cv,30,0.18135617799711365,0.01661957519365968,0.0916405240626773,0.17540893939369612,0.18730341660053118,0.954228727347673
0.0,0.08,"lambda=0, gamma=0.08",area_cv,30,0.44854306800649774,0.04030576207850832,0.08985929100998712,0.4341198362824453,0.46296629973055015,0.8687323952828475
0.0,0.08,"lambda=0, gamma=0.08",xy_corr,30,0.002048531585568332,0.022408987130496723,10.939048872063017,-0.005970421472679468,0.01006748464381613,0.8148846329058423
0.0,0.08,"lambda=0, gamma=0.08",perimeter_std,30,0.433079939095598,0.044556954101919885,0.10288390220744995,0.41713543784344,0.449024440347756,0.6910272142755434
0.0,0.08,"lambda=0, gamma=0.08",frac_neighbors_7,30,0.1781364073345806,0.01704349716805281,0.09567666387276606,0.17203747020087157,0.18423534446828965,0.6812186460689204
0.0,0.08,"lambda=0, gamma=0.08",shape_std,30,0.05864903556872274,0.005680253937504748,0.09685161712248175,0.05661638280228919,0.06068168833515628,0.5696006449496608
0.0,0.08,"lambda=0, gamma=0.08",neighbors_mean,30,5.991955023519166,0.00768937338937575,0.0012832828950140656,5.989203416590318,5.9947066304480146,0.554244290674717
0.0,0.08,"lambda=0, gamma=0.08",frac_neighbors_5,30,0.22045995483105812,0.01975190928516584,0.08959409113687805,0.21339182486846117,0.22752808479365508,0.5368268196573166
0.0,0.08,"lambda=0, gamma=0.08",frac_neighbors_6,30,0.5769055939212495,0.034621812999757084,0.06001296115787557,0.5645163372529437,0.5892948505895553,0.5180714328801189
0.0,0.08,"lambda=0, gamma=0.08",frac_neighbors_8,30,0.018935578635238752,0.00861521379841918,0.45497494237574715,0.015852663970957772,0.022018493299519732,0.4935828272263407
