lambda_cc,gamma,grupo,sim_id_1,replica_1,sim_id_2,replica_2,distancia
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_001__20260531_144629_755125,1,sim__lam_m0p1__gam_0p05__rep_026__20260531_145354_456523,26,3.592705302457426
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_001__20260531_144629_755125,1,sim__lam_m0p1__gam_0p05__rep_027__20260531_145412_810755,27,5.951123673364755
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_001__20260531_144629_755125,1,sim__lam_m0p1__gam_0p05__rep_028__20260531_145432_912342,28,4.890319996535976
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_001__20260531_144629_755125,1,sim__lam_m0p1__gam_0p05__rep_029__20260531_145450_437071,29,3.4347362891027897
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,sim__lam_m0p1__gam_0p05__rep_003__20260531_144704_740421,3,3.364703926126385
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,sim__lam_m0p1__gam_0p05__rep_004__20260531_144723_619755,4,3.7622923414808165
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,sim__lam_m0p1__gam_0p05__rep_005__20260531_144742_630012,5,3.69288563242936
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,sim__lam_m0p1__gam_0p05__rep_006__20260531_144759_347165,6,3.45968906686691
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,sim__lam_m0p1__gam_0p05__rep_007__20260531_144816_857544,7,3.425206598108262
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,sim__lam_m0p1__gam_0p05__rep_008__20260531_144834_260335,8,2.6360080536658566
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,sim__lam_m0p1__gam_0p05__rep_009__20260531_144852_347254,9,3.3412320343841064
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,sim__lam_m0p1__gam_0p05__rep_010__20260531_144910_748000,10,2.758260413696401
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,sim__lam_m0p1__gam_0p05__rep_011__20260531_144927_671483,11,4.211762599948828
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,sim__lam_m0p1__gam_0p05__rep_012__20260531_144945_118836,12,2.7843348355491826
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,sim__lam_m0p1__gam_0p05__rep_013__20260531_145001_922942,13,3.5062097462131336
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,sim__lam_m0p1__gam_0p05__rep_014__20260531_145019_145130,14,2.272929477359619
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,sim__lam_m0p1__gam_0p05__rep_015__20260531_145038_265413,15,3.59059317830685
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,sim__lam_m0p1__gam_0p05__rep_016__20260531_145055_072948,16,2.8062615668426716
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,sim__lam_m0p1__gam_0p05__rep_017__20260531_145114_197032,17,3.440028364508981
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,sim__lam_m0p1__gam_0p05__rep_018__20260531_145131_320616,18,3.804583513257679
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,sim__lam_m0p1__gam_0p05__rep_019__20260531_145150_622440,19,3.3111657876226124
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,sim__lam_m0p1__gam_0p05__rep_020__20260531_145207_946953,20,1.9556684825257074
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,sim__lam_m0p1__gam_0p05__rep_021__20260531_145224_614055,21,3.9888620281053613
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,sim__lam_m0p1__gam_0p05__rep_022__20260531_145241_561233,22,3.4221109370014315
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,sim__lam_m0p1__gam_0p05__rep_023__20260531_145300_862862,23,3.7198289456169302
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,sim__lam_m0p1__gam_0p05__rep_024__20260531_145318_966234,24,4.374343754311594
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,sim__lam_m0p1__gam_0p05__rep_025__20260531_145337_457552,25,4.712597776570953
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,sim__lam_m0p1__gam_0p05__rep_026__20260531_145354_456523,26,3.4110572972064594
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,sim__lam_m0p1__gam_0p05__rep_027__20260531_145412_810755,27,2.8062615668426716
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,sim__lam_m0p1__gam_0p05__rep_028__20260531_145432_912342,28,4.615724218712631
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_002__20260531_144646_765235,2,sim__lam_m0p1__gam_0p05__rep_029__20260531_145450_437071,29,2.677781140559867
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_003__20260531_144704_740421,3,sim__lam_m0p1__gam_0p05__rep_004__20260531_144723_619755,4,3.0053190249864374
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_003__20260531_144704_740421,3,sim__lam_m0p1__gam_0p05__rep_005__20260531_144742_630012,5,2.635999745862082
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_003__20260531_144704_740421,3,sim__lam_m0p1__gam_0p05__rep_006__20260531_144759_347165,6,2.510217907476916
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_003__20260531_144704_740421,3,sim__lam_m0p1__gam_0p05__rep_007__20260531_144816_857544,7,3.735388309946244
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_003__20260531_144704_740421,3,sim__lam_m0p1__gam_0p05__rep_008__20260531_144834_260335,8,3.220781121649302
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_003__20260531_144704_740421,3,sim__lam_m0p1__gam_0p05__rep_009__20260531_144852_347254,9,2.5717876297033215
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_003__20260531_144704_740421,3,sim__lam_m0p1__gam_0p05__rep_010__20260531_144910_748000,10,3.8699667310040793
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_003__20260531_144704_740421,3,sim__lam_m0p1__gam_0p05__rep_011__20260531_144927_671483,11,3.7898879521773456
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_003__20260531_144704_740421,3,sim__lam_m0p1__gam_0p05__rep_012__20260531_144945_118836,12,3.981484199567287
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_003__20260531_144704_740421,3,sim__lam_m0p1__gam_0p05__rep_013__20260531_145001_922942,13,3.2222118178573824
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_003__20260531_144704_740421,3,sim__lam_m0p1__gam_0p05__rep_014__20260531_145019_145130,14,3.359958883063592
-0.1,0.05,"lambda=-0.1, gamma=0.05",sim__lam_m0p1__gam_0p05__rep_003__20260531_144704_740421,3,sim__lam_m0p1__gam_0p05__rep_015__20260531_145038_265413,15,2.8473754748083158
