sim_id,replica,lambda_cc,gamma,grupo_real,grupo_predicho,distancia_minima,acierto
sim__lam_0__gam_0p05__rep_006__20260531_150512_516388,6,0.0,0.05,"lambda=0, gamma=0.05","lambda=0, gamma=0.05",2.8071625213555755,True
sim__lam_0__gam_0p05__rep_007__20260531_150531_212307,7,0.0,0.05,"lambda=0, gamma=0.05","lambda=0, gamma=0.05",3.546758539409817,True
sim__lam_0__gam_0p05__rep_008__20260531_150547_639695,8,0.0,0.05,"lambda=0, gamma=0.05","lambda=0, gamma=0.05",2.8280923871969406,True
sim__lam_0__gam_0p05__rep_009__20260531_150605_779532,9,0.0,0.05,"lambda=0, gamma=0.05","lambda=0, gamma=0.05",3.7592997030361657,True
sim__lam_0__gam_0p05__rep_010__20260531_150622_063881,10,0.0,0.05,"lambda=0, gamma=0.05","lambda=0, gamma=0.05",3.3830412038686117,True
sim__lam_0__gam_0p05__rep_011__20260531_150639_977995,11,0.0,0.05,"lambda=0, gamma=0.05","lambda=0, gamma=0.05",3.361072467636401,True
sim__lam_0__gam_0p05__rep_012__20260531_150656_323675,12,0.0,0.05,"lambda=0, gamma=0.05","lambda=0, gamma=0.05",2.1001565473917507,True
sim__lam_0__gam_0p05__rep_013__20260531_150712_997684,13,0.0,0.05,"lambda=0, gamma=0.05","lambda=0, gamma=0.05",2.2275187181653937,True
sim__lam_0__gam_0p05__rep_014__20260531_150730_777555,14,0.0,0.05,"lambda=0, gamma=0.05","lambda=0, gamma=0.05",2.684869139992728,True
sim__lam_0__gam_0p05__rep_015__20260531_150748_716829,15,0.0,0.05,"lambda=0, gamma=0.05","lambda=0, gamma=0.05",5.84300829028554,True
sim__lam_0__gam_0p05__rep_016__20260531_150805_522378,16,0.0,0.05,"lambda=0, gamma=0.05","lambda=0, gamma=0.05",2.1001565473917507,True
sim__lam_0__gam_0p05__rep_017__20260531_150825_666859,17,0.0,0.05,"lambda=0, gamma=0.05","lambda=0, gamma=0.05",1.728029151288457,True
sim__lam_0__gam_0p05__rep_018__20260531_150843_637511,18,0.0,0.05,"lambda=0, gamma=0.05","lambda=0, gamma=0.05",1.728029151288457,True
sim__lam_0__gam_0p05__rep_019__20260531_150900_754229,19,0.0,0.05,"lambda=0, gamma=0.05","lambda=0, gamma=0.05",4.329474511787583,True
sim__lam_0__gam_0p05__rep_020__20260531_150921_024793,20,0.0,0.05,"lambda=0, gamma=0.05","lambda=0, gamma=0.05",2.7664939599537686,True
sim__lam_0__gam_0p05__rep_021__20260531_150938_856419,21,0.0,0.05,"lambda=0, gamma=0.05","lambda=0, gamma=0.05",2.83299250774439,True
sim__lam_0__gam_0p05__rep_022__20260531_150956_664789,22,0.0,0.05,"lambda=0, gamma=0.05","lambda=0, gamma=0.05",3.8525750561961956,True
sim__lam_0__gam_0p05__rep_023__20260531_151015_299709,23,0.0,0.05,"lambda=0, gamma=0.05","lambda=0, gamma=0.05",3.7592997030361657,True
sim__lam_0__gam_0p05__rep_024__20260531_151033_297914,24,0.0,0.05,"lambda=0, gamma=0.05","lambda=0, gamma=0.05",4.188800003554032,True
sim__lam_0__gam_0p05__rep_025__20260531_151051_283259,25,0.0,0.05,"lambda=0, gamma=0.05","lambda=0, gamma=0.05",2.3814589784383022,True
sim__lam_0__gam_0p05__rep_026__20260531_151107_133707,26,0.0,0.05,"lambda=0, gamma=0.05","lambda=0, gamma=0.05",2.643549104586764,True
sim__lam_0__gam_0p05__rep_027__20260531_151125_571579,27,0.0,0.05,"lambda=0, gamma=0.05","lambda=0, gamma=0.05",2.7957527214139435,True
sim__lam_0__gam_0p05__rep_028__20260531_151142_331885,28,0.0,0.05,"lambda=0, gamma=0.05","lambda=-0.1, gamma=0.05",2.8628684374778723,False
sim__lam_0__gam_0p05__rep_029__20260531_151159_421063,29,0.0,0.05,"lambda=0, gamma=0.05","lambda=0, gamma=0.05",2.9540271369799216,True
sim__lam_0__gam_0p08__rep_000__20260531_151217_622798,0,0.0,0.08,"lambda=0, gamma=0.08","lambda=0, gamma=0.08",3.4605283831199385,True
sim__lam_0__gam_0p08__rep_001__20260531_151228_841532,1,0.0,0.08,"lambda=0, gamma=0.08","lambda=0, gamma=0.08",1.624876788747192,True
sim__lam_0__gam_0p08__rep_002__20260531_151240_449831,2,0.0,0.08,"lambda=0, gamma=0.08","lambda=0, gamma=0.08",1.4070327067262378,True
sim__lam_0__gam_0p08__rep_003__20260531_151252_181321,3,0.0,0.08,"lambda=0, gamma=0.08","lambda=0, gamma=0.08",4.0239079038621535,True
