sim_id,replica,init_id,grupo,lambda_cc,gamma,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
sim__lam_m0p1__gam_0p05__rep_011__20260531_144927_671483,11,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,4.147788800556129,-1.6196390762195867,-1.7968026969929125,0.582115820781277,-1.5040315166042226,2.209643307513256,-0.36783527292837426,-0.3920502047004373,-0.9450702920837201,0.12156616861912153
sim__lam_m0p1__gam_0p05__rep_012__20260531_144945_118836,12,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,5.350691073900399,-1.8707635142128074,-0.6774983652304145,-0.8135775048489603,0.6193249398900634,1.2102756669068802,1.5028698902350963,-0.15341966564138945,0.011280247455858804,0.7785982712524185
sim__lam_m0p1__gam_0p05__rep_013__20260531_145001_922942,13,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,4.384504850918998,-1.895107931008964,-1.4870218066260983,-1.3648055582822232,0.5646648558603525,0.8139356166632392,0.5587114678831864,0.14271556265763352,-0.4117845160131827,0.3266517135010533
sim__lam_m0p1__gam_0p05__rep_014__20260531_145019_145130,14,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,5.65372486205314,-2.4531782194436995,0.7213159127514558,0.31210791232480584,-0.4717875692586474,-0.3968783239284703,-0.3966531136253951,-0.14337770094136082,-0.11779094987845078,0.10794657546598048
sim__lam_m0p1__gam_0p05__rep_015__20260531_145038_265413,15,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,4.5957614323533615,-1.9067835956302146,-0.5402516702279043,0.8414694761066156,0.8477183049371231,-0.02648840923260942,-0.811735652268281,-0.9916220244599088,1.380910542267742,0.4164883281510134
sim__lam_m0p1__gam_0p05__rep_016__20260531_145055_072948,16,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,6.118635364936313,-0.6855423659547808,2.0906238275607683,-0.6475745977362534,0.09462249439081559,1.3852472597607288,-0.18319858708554343,0.2530576641674908,0.07568757425925646,0.2613976376043255
sim__lam_m0p1__gam_0p05__rep_017__20260531_145114_197032,17,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,3.6550127015575478,-2.755157650878403,-0.6298987299443972,0.17201200591622806,-1.377126251453947,0.7270869140968002,0.17878716486522783,-1.3696845730889033,-0.844081920710106,0.2709731995960031
sim__lam_m0p1__gam_0p05__rep_018__20260531_145131_320616,18,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,3.463237078769391,-2.5593608586068264,-0.5912335009648523,1.9871991596207845,0.8872418144179189,0.1889674751354389,-0.44063269454156656,0.24280371116376107,-0.3951267090498782,0.07119558776358052
sim__lam_m0p1__gam_0p05__rep_019__20260531_145150_622440,19,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,5.123919385183149,-0.8879521762483119,1.2381031661574733,2.234395453812519,-0.2694568907055508,0.9484764913805387,1.6252646833239244,-0.4273443305164215,-0.2509757750388689,-0.6028796378087631
sim__lam_m0p1__gam_0p05__rep_020__20260531_145207_946953,20,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,5.048135674904071,-1.5942108305059963,1.3465800391880365,-0.33776657718013314,-0.14305597886997592,0.9778271550995669,1.7014122436431898,0.8957887622614215,-0.7422626937861946,-0.175685794333384
sim__lam_m0p1__gam_0p05__rep_021__20260531_145224_614055,21,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,2.97346859423329,-4.057594407262998,-0.026174097684695218,-0.1414967385489676,-0.4193549490073351,-0.38546918278260595,0.5342009283549183,-1.2409608779154786,0.41070505041570216,0.410815206013163
sim__lam_m0p1__gam_0p05__rep_022__20260531_145241_561233,22,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,4.3418396899324465,-1.107368278466533,-0.6413658361740462,-0.747457227671192,0.9081919608174178,0.02749358866582589,-0.6534990053036729,-1.5534243613993926,-0.6213440512604927,-0.04274684863655187
sim__lam_m0p1__gam_0p05__rep_023__20260531_145300_862862,23,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,4.925006506099271,0.24085966732531444,0.6681345675842707,2.215155326760139,0.3597130118953552,1.132298509115079,0.11999752237030681,-0.15044324784535895,-0.13383068446335977,-0.5134131609491737
sim__lam_m0p1__gam_0p05__rep_024__20260531_145318_966234,24,hexagonal_2000_1.dat,"lambda=-0.1, gamma=0.05",-0.1,0.05,5.363811248933324,-0.868729774399129,-0.6300472874232526,0.9070785921407052,2.770646841589839,1.0495015510588195,1.627195333173902,0.359901389326522,0.035398693313596574,-0.9626462264736991
