sim_id,replica,init_id,grupo,lambda_cc,gamma,silhouette
sim__lam_0__gam_0p05__rep_019__20260531_150900_754229,19,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,0.16815124340405416
sim__lam_0__gam_0p05__rep_020__20260531_150921_024793,20,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,-0.01437437187626496
sim__lam_0__gam_0p05__rep_021__20260531_150938_856419,21,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,0.13355161814840794
sim__lam_0__gam_0p05__rep_022__20260531_150956_664789,22,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,0.1409070321004534
sim__lam_0__gam_0p05__rep_023__20260531_151015_299709,23,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,0.19645867050281596
sim__lam_0__gam_0p05__rep_024__20260531_151033_297914,24,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,0.15394527852613532
sim__lam_0__gam_0p05__rep_025__20260531_151051_283259,25,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,0.14651258994520508
sim__lam_0__gam_0p05__rep_026__20260531_151107_133707,26,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,0.1639720266294551
sim__lam_0__gam_0p05__rep_027__20260531_151125_571579,27,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,0.05624329839267046
sim__lam_0__gam_0p05__rep_028__20260531_151142_331885,28,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,-0.02449087827261312
sim__lam_0__gam_0p05__rep_029__20260531_151159_421063,29,hexagonal_2000_1.dat,"lambda=0, gamma=0.05",0.0,0.05,0.1782661270359823
sim__lam_0__gam_0p08__rep_000__20260531_151217_622798,0,hexagonal_2000_1.dat,"lambda=0, gamma=0.08",0.0,0.08,0.48253408144300536
sim__lam_0__gam_0p08__rep_001__20260531_151228_841532,1,hexagonal_2000_1.dat,"lambda=0, gamma=0.08",0.0,0.08,0.7080152933510185
sim__lam_0__gam_0p08__rep_002__20260531_151240_449831,2,hexagonal_2000_1.dat,"lambda=0, gamma=0.08",0.0,0.08,0.680151508845431
sim__lam_0__gam_0p08__rep_003__20260531_151252_181321,3,hexagonal_2000_1.dat,"lambda=0, gamma=0.08",0.0,0.08,0.40462577813408723
sim__lam_0__gam_0p08__rep_004__20260531_151304_290305,4,hexagonal_2000_1.dat,"lambda=0, gamma=0.08",0.0,0.08,0.6776818995452553
sim__lam_0__gam_0p08__rep_005__20260531_151315_832128,5,hexagonal_2000_1.dat,"lambda=0, gamma=0.08",0.0,0.08,0.6742021581199247
sim__lam_0__gam_0p08__rep_006__20260531_151327_734806,6,hexagonal_2000_1.dat,"lambda=0, gamma=0.08",0.0,0.08,0.5933763288998924
sim__lam_0__gam_0p08__rep_007__20260531_151339_927903,7,hexagonal_2000_1.dat,"lambda=0, gamma=0.08",0.0,0.08,0.5566762045356449
sim__lam_0__gam_0p08__rep_008__20260531_151353_845845,8,hexagonal_2000_1.dat,"lambda=0, gamma=0.08",0.0,0.08,0.6232305928127556
sim__lam_0__gam_0p08__rep_009__20260531_151407_323285,9,hexagonal_2000_1.dat,"lambda=0, gamma=0.08",0.0,0.08,0.6542881279190267
sim__lam_0__gam_0p08__rep_010__20260531_151418_925213,10,hexagonal_2000_1.dat,"lambda=0, gamma=0.08",0.0,0.08,0.6161787132023662
sim__lam_0__gam_0p08__rep_011__20260531_151431_673545,11,hexagonal_2000_1.dat,"lambda=0, gamma=0.08",0.0,0.08,0.5986958064893371
sim__lam_0__gam_0p08__rep_012__20260531_151444_761881,12,hexagonal_2000_1.dat,"lambda=0, gamma=0.08",0.0,0.08,0.6808705715435016
sim__lam_0__gam_0p08__rep_013__20260531_151456_168776,13,hexagonal_2000_1.dat,"lambda=0, gamma=0.08",0.0,0.08,0.6993230009502285
sim__lam_0__gam_0p08__rep_014__20260531_151507_836828,14,hexagonal_2000_1.dat,"lambda=0, gamma=0.08",0.0,0.08,0.682052236719568
sim__lam_0__gam_0p08__rep_015__20260531_151520_191782,15,hexagonal_2000_1.dat,"lambda=0, gamma=0.08",0.0,0.08,0.5958917747451573
sim__lam_0__gam_0p08__rep_016__20260531_151533_343928,16,hexagonal_2000_1.dat,"lambda=0, gamma=0.08",0.0,0.08,0.607498991736181
sim__lam_0__gam_0p08__rep_017__20260531_151544_776165,17,hexagonal_2000_1.dat,"lambda=0, gamma=0.08",0.0,0.08,0.7080152933510185
sim__lam_0__gam_0p08__rep_018__20260531_151556_334086,18,hexagonal_2000_1.dat,"lambda=0, gamma=0.08",0.0,0.08,0.7003273473414343
sim__lam_0__gam_0p08__rep_019__20260531_151608_526710,19,hexagonal_2000_1.dat,"lambda=0, gamma=0.08",0.0,0.08,0.5672873278080036
sim__lam_0__gam_0p08__rep_020__20260531_151620_259124,20,hexagonal_2000_1.dat,"lambda=0, gamma=0.08",0.0,0.08,0.5064572780288862
sim__lam_0__gam_0p08__rep_021__20260531_151632_293469,21,hexagonal_2000_1.dat,"lambda=0, gamma=0.08",0.0,0.08,0.6586901915235126
sim__lam_0__gam_0p08__rep_022__20260531_151645_041367,22,hexagonal_2000_1.dat,"lambda=0, gamma=0.08",0.0,0.08,0.6737065082554526
sim__lam_0__gam_0p08__rep_023__20260531_151656_729203,23,hexagonal_2000_1.dat,"lambda=0, gamma=0.08",0.0,0.08,0.6839781348669212
sim__lam_0__gam_0p08__rep_024__20260531_151708_879373,24,hexagonal_2000_1.dat,"lambda=0, gamma=0.08",0.0,0.08,0.5251878518591173
sim__lam_0__gam_0p08__rep_025__20260531_151721_618459,25,hexagonal_2000_1.dat,"lambda=0, gamma=0.08",0.0,0.08,0.6603876956684469
sim__lam_0__gam_0p08__rep_026__20260531_151733_988523,26,hexagonal_2000_1.dat,"lambda=0, gamma=0.08",0.0,0.08,0.6819156441562467
sim__lam_0__gam_0p08__rep_027__20260531_151747_372039,27,hexagonal_2000_1.dat,"lambda=0, gamma=0.08",0.0,0.08,0.6232305928127556
sim__lam_0__gam_0p08__rep_028__20260531_151800_250315,28,hexagonal_2000_1.dat,"lambda=0, gamma=0.08",0.0,0.08,0.6731617393027769
sim__lam_0__gam_0p08__rep_029__20260531_151811_962071,29,hexagonal_2000_1.dat,"lambda=0, gamma=0.08",0.0,0.08,0.6338685126076936
